status,reason,product_id,slug,title,old_emart_ingredients,new_emart_ingredients,old_emart_how_to_use,new_emart_how_to_use,old_emart_product_faq,new_emart_product_faq
UPDATED,ok,2583,some-by-mi-yuja-niacin-blemish-care-serum-50ml,"Some by mi Yuja Niacin 30 Days Blemish Care Serum 50ml","<div class=""ingredients-tab"">
<h3>Key Ingredients</h3>
<p>Some By Mi এর এই product-এ carefully selected active ingredients আছে। Full INCI list original packaging-এ printed।</p>
<h3>ব্যবহারের নিয়ম</h3>
<p>পরিষ্কার skin-এ পরিমাণমতো নিয়ে আলতো massage করুন। চোখ এড়িয়ে চলুন।</p>
<h3>Suitable For</h3>
<p>Sensitive skin-এ প্রথমে patch test করুন।</p>
<h3>সংরক্ষণ</h3>
<p>ঠান্ডা, শুকনো জায়গায় রাখুন। সূর্যালোক থেকে দূরে রাখুন।</p>
</div>","<div class=""ingredients-tab""> <h3>Key Ingredients</h3><p>Some By Mi এর এই product-এ carefully selected active ingredients আছে। Full INCI list original packaging-এ printed।</p>",,"<h3>ব্যবহারের নিয়ম</h3><p>পরিষ্কার skin-এ পরিমাণমতো নিয়ে আলতো massage করুন। চোখ এড়িয়ে চলুন।</p>",,
UPDATED,ok,2588,some-by-mi-aha-bha-pha-30days-toner-150ml,"Some by mi AHA-BHA-PHA 30DAYS Miracle Toner 150ml","<div class=""ingredients-tab"">
<h3>Key Ingredients</h3>
<p>Some By Mi এর এই product-এ carefully selected active ingredients আছে। Full INCI list original packaging-এ printed।</p>
<h3>ব্যবহারের নিয়ম</h3>
<p>পরিষ্কার skin-এ পরিমাণমতো নিয়ে আলতো massage করুন। চোখ এড়িয়ে চলুন।</p>
<h3>Suitable For</h3>
<p>Sensitive skin-এ প্রথমে patch test করুন।</p>
<h3>সংরক্ষণ</h3>
<p>ঠান্ডা, শুকনো জায়গায় রাখুন। সূর্যালোক থেকে দূরে রাখুন।</p>
</div>","<div class=""ingredients-tab""> <h3>Key Ingredients</h3><p>Some By Mi এর এই product-এ carefully selected active ingredients আছে। Full INCI list original packaging-এ printed।</p>",,"<h3>ব্যবহারের নিয়ম</h3><p>পরিষ্কার skin-এ পরিমাণমতো নিয়ে আলতো massage করুন। চোখ এড়িয়ে চলুন।</p>",,
UPDATED,ok,2591,cosrx-advanced-snail-mucin-96-power-essence-100ml,"COSRX Advanced Snail Mucin 96 Power Essence 100ml","<div class=""ingredients-tab"">
<h3>Key Ingredients</h3>
<p>CosRx এর এই product-এ carefully selected active ingredients আছে। Full INCI list original packaging-এ printed।</p>
<h3>ব্যবহারের নিয়ম</h3>
<p>পরিষ্কার skin-এ পরিমাণমতো নিয়ে আলতো massage করুন। চোখ এড়িয়ে চলুন।</p>
<h3>Suitable For</h3>
<p>Sensitive skin-এ প্রথমে patch test করুন।</p>
<h3>সংরক্ষণ</h3>
<p>ঠান্ডা, শুকনো জায়গায় রাখুন। সূর্যালোক থেকে দূরে রাখুন।</p>
</div>","<div class=""ingredients-tab""> <h3>Key Ingredients</h3><p>CosRx এর এই product-এ carefully selected active ingredients আছে। Full INCI list original packaging-এ printed।</p>",,"<h3>ব্যবহারের নিয়ম</h3><p>পরিষ্কার skin-এ পরিমাণমতো নিয়ে আলতো massage করুন। চোখ এড়িয়ে চলুন।</p>",,
UPDATED,ok,2592,cosrx-aha-bha-clarifying-treatment-toner-150ml,"Cosrx AHA BHA Clarifying Treatment Toner 150ml","<div class=""ingredients-tab"">
<h3>Key Ingredients</h3>
<p>CosRx এর এই product-এ carefully selected active ingredients আছে। Full INCI list original packaging-এ printed।</p>
<h3>ব্যবহারের নিয়ম</h3>
<p>পরিষ্কার skin-এ পরিমাণমতো নিয়ে আলতো massage করুন। চোখ এড়িয়ে চলুন।</p>
<h3>Suitable For</h3>
<p>Sensitive skin-এ প্রথমে patch test করুন।</p>
<h3>সংরক্ষণ</h3>
<p>ঠান্ডা, শুকনো জায়গায় রাখুন। সূর্যালোক থেকে দূরে রাখুন।</p>
</div>","<div class=""ingredients-tab""> <h3>Key Ingredients</h3><p>CosRx এর এই product-এ carefully selected active ingredients আছে। Full INCI list original packaging-এ printed।</p>",,"<h3>ব্যবহারের নিয়ম</h3><p>পরিষ্কার skin-এ পরিমাণমতো নিয়ে আলতো massage করুন। চোখ এড়িয়ে চলুন।</p>",,
UPDATED,ok,2595,cosrx-low-ph-good-morning-gel-cleanser-150ml,"COSRX Low pH Good Morning Gel Cleanser 150ml","<div class=""ingredients-tab"">
<h3>Key Ingredients</h3>
<p>CosRx এর এই product-এ carefully selected active ingredients আছে। Full INCI list original packaging-এ printed।</p>
<h3>ব্যবহারের নিয়ম</h3>
<p>পরিষ্কার skin-এ পরিমাণমতো নিয়ে আলতো massage করুন। চোখ এড়িয়ে চলুন।</p>
<h3>Suitable For</h3>
<p>Sensitive skin-এ প্রথমে patch test করুন।</p>
<h3>সংরক্ষণ</h3>
<p>ঠান্ডা, শুকনো জায়গায় রাখুন। সূর্যালোক থেকে দূরে রাখুন।</p>
</div>","<div class=""ingredients-tab""> <h3>Key Ingredients</h3><p>CosRx এর এই product-এ carefully selected active ingredients আছে। Full INCI list original packaging-এ printed।</p>",,"<h3>ব্যবহারের নিয়ম</h3><p>পরিষ্কার skin-এ পরিমাণমতো নিয়ে আলতো massage করুন। চোখ এড়িয়ে চলুন।</p>",,
UPDATED,ok,2597,some-by-mi-galactomyces-pure-vitamin-c-glow-serum-30ml,"Some By Mi Galactomyces Pure Vitamin C Glow Serum 30ml","<div class=""ingredients-tab"">
<h3>Key Ingredients</h3>
<p>Some By Mi এর এই product-এ carefully selected active ingredients আছে। Full INCI list original packaging-এ printed।</p>
<h3>ব্যবহারের নিয়ম</h3>
<p>পরিষ্কার skin-এ পরিমাণমতো নিয়ে আলতো massage করুন। চোখ এড়িয়ে চলুন।</p>
<h3>Suitable For</h3>
<p>Sensitive skin-এ প্রথমে patch test করুন।</p>
<h3>সংরক্ষণ</h3>
<p>ঠান্ডা, শুকনো জায়গায় রাখুন। সূর্যালোক থেকে দূরে রাখুন।</p>
</div>","<div class=""ingredients-tab""> <h3>Key Ingredients</h3><p>Some By Mi এর এই product-এ carefully selected active ingredients আছে। Full INCI list original packaging-এ printed।</p>",,"<h3>ব্যবহারের নিয়ম</h3><p>পরিষ্কার skin-এ পরিমাণমতো নিয়ে আলতো massage করুন। চোখ এড়িয়ে চলুন।</p>",,
UPDATED,ok,2598,some-by-mi-ahabhapha-30-days-miracle-acne-clear-foam-100ml,"Some By Mi Aha Bha Pha 30Days Miracle Acne Clear Foam 100ml","<div class=""ingredients-tab"">
<h3>Key Ingredients</h3>
<p>Some By Mi এর এই product-এ carefully selected active ingredients আছে। Full INCI list original packaging-এ printed।</p>
<h3>ব্যবহারের নিয়ম</h3>
<p>পরিষ্কার skin-এ পরিমাণমতো নিয়ে আলতো massage করুন। চোখ এড়িয়ে চলুন।</p>
<h3>Suitable For</h3>
<p>Sensitive skin-এ প্রথমে patch test করুন।</p>
<h3>সংরক্ষণ</h3>
<p>ঠান্ডা, শুকনো জায়গায় রাখুন। সূর্যালোক থেকে দূরে রাখুন।</p>
</div>","<div class=""ingredients-tab""> <h3>Key Ingredients</h3><p>Some By Mi এর এই product-এ carefully selected active ingredients আছে। Full INCI list original packaging-এ printed।</p>",,"<h3>ব্যবহারের নিয়ম</h3><p>পরিষ্কার skin-এ পরিমাণমতো নিয়ে আলতো massage করুন। চোখ এড়িয়ে চলুন।</p>",,
UPDATED,ok,2611,innisfree-super-volcanic-pore-clay-mask-100ml,"Innisfree Super Volcanic Pore Clay Mask 2X 100ml","<div class=""ingredients-tab"">
<h3>Key Ingredients</h3>
<p>Innisfree এর এই product-এ carefully selected active ingredients আছে। Full INCI list original packaging-এ printed।</p>
<h3>ব্যবহারের নিয়ম</h3>
<p>পরিষ্কার skin-এ পরিমাণমতো নিয়ে আলতো massage করুন। চোখ এড়িয়ে চলুন।</p>
<h3>Suitable For</h3>
<p>Sensitive skin-এ প্রথমে patch test করুন।</p>
<h3>সংরক্ষণ</h3>
<p>ঠান্ডা, শুকনো জায়গায় রাখুন। সূর্যালোক থেকে দূরে রাখুন।</p>
</div>","<div class=""ingredients-tab""> <h3>Key Ingredients</h3><p>Innisfree এর এই product-এ carefully selected active ingredients আছে। Full INCI list original packaging-এ printed।</p>",,"<h3>ব্যবহারের নিয়ম</h3><p>পরিষ্কার skin-এ পরিমাণমতো নিয়ে আলতো massage করুন। চোখ এড়িয়ে চলুন।</p>",,
UPDATED,ok,2615,some-by-mi-snail-truecica-miracle-repair-toner-135ml,"Some By Mi Snail Truecica Miracle Repair Toner 135ml","<div class=""ingredients-tab"">
<h3>Key Ingredients</h3>
<p>Some By Mi এর এই product-এ carefully selected active ingredients আছে। Full INCI list original packaging-এ printed।</p>
<h3>ব্যবহারের নিয়ম</h3>
<p>পরিষ্কার skin-এ পরিমাণমতো নিয়ে আলতো massage করুন। চোখ এড়িয়ে চলুন।</p>
<h3>Suitable For</h3>
<p>Sensitive skin-এ প্রথমে patch test করুন।</p>
<h3>সংরক্ষণ</h3>
<p>ঠান্ডা, শুকনো জায়গায় রাখুন। সূর্যালোক থেকে দূরে রাখুন।</p>
</div>","<div class=""ingredients-tab""> <h3>Key Ingredients</h3><p>Some By Mi এর এই product-এ carefully selected active ingredients আছে। Full INCI list original packaging-এ printed।</p>",,"<h3>ব্যবহারের নিয়ম</h3><p>পরিষ্কার skin-এ পরিমাণমতো নিয়ে আলতো massage করুন। চোখ এড়িয়ে চলুন।</p>",,
UPDATED,ok,2627,some-by-mi-truecica-mineral-calming-tone-up-suncream-50ml,"Some By Mi Truecica Mineral Calming Tone-Up Suncream 50ml","<div class=""ingredients-tab"">
<h3>Key Ingredients</h3>
<p>Some By Mi এর এই product-এ carefully selected active ingredients আছে। Full INCI list original packaging-এ printed।</p>
<h3>ব্যবহারের নিয়ম</h3>
<p>পরিষ্কার skin-এ পরিমাণমতো নিয়ে আলতো massage করুন। চোখ এড়িয়ে চলুন।</p>
<h3>Suitable For</h3>
<p>Sensitive skin-এ প্রথমে patch test করুন।</p>
<h3>সংরক্ষণ</h3>
<p>ঠান্ডা, শুকনো জায়গায় রাখুন। সূর্যালোক থেকে দূরে রাখুন।</p>
</div>","<div class=""ingredients-tab""> <h3>Key Ingredients</h3><p>Some By Mi এর এই product-এ carefully selected active ingredients আছে। Full INCI list original packaging-এ printed।</p>",,"<h3>ব্যবহারের নিয়ম</h3><p>পরিষ্কার skin-এ পরিমাণমতো নিয়ে আলতো massage করুন। চোখ এড়িয়ে চলুন।</p>",,
